47 uF,1,"C2",140-REA470M1HBK0611P
.1 uF,1,"C1",21RZ310-RC
160X128_TFT_DISPLAY,1,"LCD1",855-M20-9771046
CONN_01X01,4,"P5 P6 P7 P8"
Analog,1,"P2"
Power,1,"P1"
Digital,1,"P4"
Digital,1,"P3"
Switches,1,"P10",855-M20-9730446
10K Ohms,2,"R1 R2",660-MS1/4DCT52R1002
Reset,1,"SW1"
HWB,1,"SW2"
Thermocouple,1,"T1",649-220316-H021B01LF
Relay,1,"T2",649-220316-H021B01LF
FAN,1,"T3",649-220316-H021B01LF
AD595AQ,1,"U1",584-AD595AQ
